Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
44,Bahamas,,,,,310.0,,,,,,38.51,,,,,,,,,,,,,,,,,,,2000,38.51,...,0.129,1992,1979,1993,...,1999,1993.0,2016,1997,...,2005,1983,2000.0,1994.0,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,,,,,40.92,,,,,,,,,,,,,,,,,,,,,,,,,1994,40.92,...,0.074,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,,,,,4458.76,,,,,,,16414.5,,,,19114.6,,,,,,,,,,,,,,2005,"19,114.60",...,0.137,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Barbados,49.6,,,,49.6,,,49.6,,,,,,,,,,,,,,,,,,,,,,1997,49.60,...,0.185,1995,1992,1994,...,2000,1992.0,2016,2006,...,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,55.77,54.2,48.47,48.96,41.79,38.96,41.68,42.99,52.52,41.1,41.7,41.72,37.32,39.33,40.66,41.94,44.29,43.95,46.37,47.35,46.88,49.48,48.49,48.21,47.31,46.35,46.89,48.44,47.05,2018,47.05,-15.64,0.005,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,-2.815133584364354,-10.571955719557202,1.0109345987208624,-14.644607843137258,-6.7719550131610395,6.981519507186855,3.1429942418426156,22.16794603396139,-21.744097486671745,1.4598540145985435,0.0479616306954341,-10.546500479386383,5.385852090032149,3.38164251207729,3.148057058534189,5.603242727706251,-0.7676676450665981,5.506257110352661,2.113435410825974,-0.9926082365364284,5.54607508532422,-2.0008084074373382,-0.5774386471437433,-1.866832607342872,-2.0291693088142058,1.1650485436893185,3.3056088718276753,-2.8695293146160212
56,Belgium,33.8,33.36,32.43,33.35,34.71,36.33,37.8,37.05,36.67,36.69,34.27,32.94,31.76,28.75,29.38,28.55,25.18,23.42,23.4,23.73,25.46,21.39,21.16,20.63,20.74,20.25,19.34,20.06,19.14,2018,19.14,-43.39,0.002,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,-1.3017751479289874,-2.787769784172661,2.8368794326241185,4.077961019490253,4.667242869490053,4.046242774566471,-1.9841269841269844,-1.0256410256410136,0.054540496318505646,-6.5958026710275135,-3.8809454333236224,-3.5822707953855377,-9.477329974811086,2.191304347826083,-2.825051055139545,-11.803852889667253,-6.989674344718022,-0.0853970964987324,1.4102564102564183,7.290349768225876,-15.98586017282011,-1.075268817204303,-2.5047258979206104,0.5332040717401815,-2.3625843780134934,-4.4938271604938285,3.7228541882109556,-4.586241276171476
84,Belize,,,,,171.12,,,,,,11637.47,,,598.3,,,620.0,,,489.8,,,,,,,,,,2009,489.80,...,1.557,1997,1986,1994,...,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,,,,,,530.16,,,,,2511.0,,,,,,,,,,,,,,,,,,,2000,"2,511.00",...,0.366,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,660.3,,,,,,465.0,,,,,,,,,,,,,,,,,,,2000,465.00,...,0.787,2002,2002,1995,...,2002,2004.0,2017,2012,...,...,...,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),576.6,,,,858.7,,,,855.6,,914.5,,1225.8,,1386.91,,,,,,,,,,,,,,,2004,"1,386.91",140.53,0.153,1996,1979,1995,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
