Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
116,Cambodia,,,,,1321.93,,,,,,2052.58,,,,,,,,,,,,,,,,,,,2000,2052.58,...,0.17,2001,1997,1995,...,2002,2001.0,2017,1999,2013,2006,...,1997.0,1995.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,,,,,2769.52,,,,,,2991.0,,,,,,,,,,,,,,,,,,,2000,2991.0,...,0.19,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Canada,462117.35,452494.72,467037.42,467406.41,482436.58,494920.25,510736.66,524789.17,533639.79,549553.21,572162.1,564946.4,570844.78,587178.15,585703.1,576434.46,570950.38,594220.57,575586.91,542549.6,555549.85,566740.99,569737.01,576327.01,575942.18,575906.94,564032.53,572834.39,586504.63,2018,586504.63,26.92,15.82,1992,1975,1993,...,2002,1988.0,2016,1981,2002,2001,2003,2016.0,1992.0,1976,-2.082291435281537,3.2138938549382443,0.07900651729362301,3.2156533753998033,2.5876292382306465,3.195749214141061,2.7514198804526915,1.68650965110427,2.9820527438555366,4.114049301977513,-1.261128620717792,1.0440601090652148,2.8612629163395336,-0.2512099607248748,-1.5824809532338164,-0.9513796243201627,4.0756939333326905,-3.1358153757618856,-5.739760482044328,2.3961403713135168,2.014425888153874,0.5286400759542764,1.1566740240378626,-0.06677285522327993,-0.006118669759542025,-2.0618626335706107,1.5605234683893119,2.3864209688946905
140,Central African Republic,,,,,212.0,,,,,,,,,180.46,193.34,207.36,214.71,232.21,235.91,232.95,252.59,,,,,,,,,2010,252.59,...,0.06,2006,1980,1995,...,2008,1993.0,2016,2006,...,2008,...,1996.0,1995.0,1980,,,,,,,,,,,,,,7.137315748642356,7.2514740871004495,3.5445601851851825,8.150528619999069,1.5933852977907879,-1.2547157814420788,8.430993775488309,,,,,,,,
148,Chad,,,,309.65,,,,,334.6,358.58,304.99,368.59,452.77,4054.6,,,,,,,,,,,,,,,,2003,4054.6,...,0.43,2004,1989,1994,1997,2009,1994.0,2017,1990,2004,2004,2009,1996.0,1994.0,1999,,,,,,,,,7.166766288105188,-14.945061074237262,20.853142725991002,22.838384112428447,795.5098615190936,,,,,,,,,,,,,,,
152,Chile,33289.7,,,34963.9,38485.8,,,,,,54750.5,,,,,,60056.66,,,,69667.0,,,80498.4,,,87444.0,,,2016,87444.0,162.68,4.8,1992,1975,1994,1983,2002,1990.0,2017,1981,2005,2005,1997,1997.0,1994.0,1980,,,,10.072960968313035,,,,,,,,,,,,,,,,,,,,,,,,
156,China,,,,,3073470.0,,,,,,,,,,,6381000.0,,,,,8707376.0,,9893257.0,,10274851.0,,,,,2014,10274851.0,...,7.34,1991,1981,1993,...,2002,1991.0,2016,1992,2005,2004,1996,1997.0,1993.0,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,49706.5,,,,60917.3,,,,,,63813.83,,,,63907.28,,,,,,,,,,,,,,,2004,63907.28,28.57,1.52,1996,1981,1995,...,2001,1993.0,2018,1998,2008,2008,...,1999.0,1995.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Comoros,,,,,70.52,,,,,,82.42,,,,,,,,,,,,,,,,,,,2000,82.42,...,0.15,1994,1994,1994,...,2008,1994.0,2016,1995,...,2007,1994,1998.0,1994.0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Congo,,,,,673.7,,,,,,1292.15,,,,,,,,,,,,,,,,,,,2000,1292.15,...,0.41,2007,1983,1996,2000,2007,1994.0,2017,1998,2006,2007,2008,1999.0,1996.0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
