Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
112.0,Belarus,1.38,1.38,1.22,1.03,0.94,0.84,0.93,1.16,1.3,1.34,1.4,1.42,1.43,1.48,1.59,1.8,2.0,2.11,2.32,2.08,2.27,2.3,2.29,2.21,2.3,2.17,1.97,2.13,2.33,2018.0,2.33,69.41,0.25,1999,1995,1993,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,0.0,-11.59420289855072,-15.573770491803273,-8.73786407766991,-10.638297872340424,10.714285714285724,24.73118279569891,12.068965517241391,3.0769230769230793,4.477611940298495,1.42857142857143,0.7042253521126767,3.4965034965034993,7.43243243243244,13.207547169811317,11.111111111111107,5.499999999999994,9.952606635071088,-10.344827586206886,9.134615384615381,1.3215859030836918,-0.4347826086956429,-3.493449781659392,4.072398190045242,-5.652173913043474,-9.21658986175115,8.121827411167509,9.389671361502357
56.0,Belgium,424.16,425.13,427.0,421.31,416.92,411.02,396.04,380.71,381.52,354.02,354.43,342.12,329.85,325.95,335.88,320.91,304.94,295.41,268.45,239.87,241.33,224.19,213.04,203.89,193.97,194.37,183.31,172.57,167.05,2018.0,167.05,-60.62,14.55,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,0.22868728781591155,0.43986545292028434,-1.3325526932084304,-1.041988084783173,-1.4151395951261714,-3.6445915040630537,-3.8708211291788808,0.21276036878463983,-7.208010065003146,0.11581266595108329,-3.473182292695314,-3.5864608909154625,-1.1823556161891873,3.04647952139899,-4.456948910325107,-4.9764731544669925,-3.125204958352454,-9.126299042009423,-10.646302849692676,0.608663025805648,-7.102308042928776,-4.973460011597308,-4.294968081111531,-4.865368581097645,0.2062174563076794,-5.690178525492618,-5.858927499863624,-3.198701976009725
84.0,Belize,,,,,3.99,,,,,,0.06,,,0.03,,,0.03,,,0.03,,,,,,,,,,2009.0,0.03,,0.1,1997,1986,1994,,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.0,Benin,,,,,,50.58,,,,,24.96,,,,,,,,,,,,,,,,,,,2000.0,24.96,,3.64,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Bhutan,,,,,0.72,,,,,,1.77,,,,,,,,,,,,,,,,,,,2000.0,1.77,,2.99,2002,2002,1995,,2002,2004.0,2017,2012,,,,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,Bolivia (Plurinational State of),37.02,,,,48.38,,,,58.52,,52.74,,8.24,,13.42,,,,,,,,,,,,,,,2004.0,13.42,-63.74,1.48,1996,1979,1995,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,Bosnia and Herzegovina,83.07,77.15,27.43,6.0,6.57,5.8,12.04,19.66,38.46,37.92,39.32,40.07,,,,,,,,,,,,73.0,79.0,,,,,2014.0,79.0,-4.90,22.69,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,-7.126519802576126,-64.44588464031109,-78.12613926358001,9.500000000000004,-11.719939117199397,107.58620689655172,63.28903654485051,95.62563580874873,-1.4040561622464875,3.691983122362865,1.9074262461851474,,,,,,,,,,,,,8.21917808219178,,,,
72.0,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,,,2015.0,8.43,,3.97,1998,1977,1996,,2003,1991.0,2016,1997,2008,2002,1990,1996.0,1994.0,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,Brazil,1170.5,1239.1,1277.1,1319.4,1390.7,1469.9,1582.8,1626.6,1642.5,1669.8,1609.6,1625.9,1601.7,1645.4,1701.1,1724.0,1718.3,1787.5,1905.8,1817.9,1897.8,1938.6,2037.8,2127.8,2229.6,2077.6,,,,2015.0,2077.6,77.50,10.16,1992,1975,1994,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,5.86074327210593,3.0667419901541444,3.3121916842847217,5.403971502197965,5.6949737542244945,7.680794611878349,2.7672479150871845,0.9774990778310643,1.6621004566210018,-3.605222182297284,1.0126739562624367,-1.4884064210591086,2.728351126927642,3.3851950893399665,1.3461877608606252,-0.33062645011601194,4.027236221847177,6.618181818181816,-4.612236331199489,4.395181253094222,2.149857730003159,5.117094810688128,4.4165276278339505,4.784284237240329,-6.8173663437387875,,,
100.0,Bulgaria,257.33,188.28,180.25,178.73,169.52,171.97,169.7,161.93,165.03,150.29,144.36,153.89,145.11,159.42,155.35,157.07,155.42,160.24,154.42,135.2,139.23,148.59,136.47,121.2,128.49,136.3,127.74,130.86,121.98,2018.0,121.98,-52.60,17.3,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,-26.83324913535149,-4.264924580412153,-0.8432732316227518,-5.153024114586236,1.4452571967909322,-1.3199976740129151,-4.578668238067167,1.9144074600135828,-8.931709386172217,-3.9457049703905644,6.601551676364624,-5.705373968418984,9.861484391151523,-2.5530046418266177,1.1071773414869641,-1.0504870439931278,3.101273967314388,-3.6320519221168377,-12.446574277943272,2.980769230769232,6.722689075630263,-8.15667272360186,-11.189272367553306,6.014851485148521,6.078294030663866,-6.280264123257531,2.442461249412885,-6.785878037597438
854.0,Burkina Faso,,,,,8.37,,,,,,,,,,,,,6.05,,,,,,,,,,,,2007.0,6.05,,0.42,1999,1989,1993,1990,2005,1989.0,2016,1990,2002,2004,2005,1996.0,1993.0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,Burundi,,,,,,,,,12.44,,,,,,,,,,,,,,,,,,,,,1998.0,12.44,,2.01,1997,1988,1997,2011,2001,1997.0,,2002,2004,2005,,1997.0,1997.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.0,Cabo Verde,,,,,,0.72,,,,,2.03,,,,,,,,,,,,,,,,,,,2000.0,2.03,,4.73,1999,2005,1995,2006,2006,2001.0,2017,2005,2006,2006,1987,1995.0,1995.0,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,Cambodia,,,,,19.44,,,,,,25.08,,,,,,,,,,,,,,,,,,,2000.0,25.08,,2.06,2001,1997,1995,,2002,2001.0,2017,1999,2013,2006,,1997.0,1995.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,Cameroon,,,,,250.0,,,,,,111.0,,,,,,,,,,,,,,,,,,,2000.0,111.0,,7.15,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,Central African Republic,,,,,51.25,,,,,,,,,296.7,296.7,296.7,0.6,0.6,0.6,0.3,0.3,,,,,,,,,2010.0,0.3,,0.07,2006,1980,1995,,2008,1993.0,2016,2006,,2008,,1996.0,1995.0,1980,,,,,,,,,,,,,,0.0,0.0,-99.79777553083923,0.0,0.0,-50.0,0.0,,,,,,,,
148.0,Chad,,,,75.74,,,,,12.13,11.43,10.84,10.47,9.97,9.67,,,,,,,,,,,,,,,,2003.0,9.67,,1.03,2004,1989,1994,1997,2009,1994.0,2017,1990,2004,2004,2009,1996.0,1994.0,1999,,,,,,,,,-5.7708161582852515,-5.1618547681539795,-3.413284132841321,-4.775549188156638,-3.009027081243738,,,,,,,,,,,,,,,
