Country ID,Country,1990,1995,1996,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
12.0,Algeria,0.9276796001358889,6.400432213,7.1991908141062595,9.408252137422096,9.714024199085543,9.921198953205021,10.0297764,10.039756538462825,9.951139369659359,9.763924893224612,9.47811311,9.09370401740307,8.610697618016275,8.029093911027303,7.348892896436155,6.570094574126415,5.6926989442436025,4.71670600672951,3.642115761496825,2.468928208720172,1.1971433482249267,,,,,,,1.0,,,,,,,,,,,,,,,1998,1983,1995.0,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,0.032500411043111126,0.021327387071877084,0.010943984422356792,0.000995050942793276,-0.008826625273627856,-0.01881337095986782,-0.029272222630772372,-0.04055755487781162,-0.053114374347619196,-0.06754431903079196,-0.08471703309596962,-0.1059749180298189,-0.13354383563032263,-0.17144643464784073,-0.2278264203237438,-0.32211704119324874,-0.5151161771344114
20.0,Andorra,-1489.7628710493445,-949.75964368321,-855.9707852341235,-528.1879748422652,-458.08542809821665,-392.72014369256794,-332.0921216253191,-276.2013619020581,-225.04786451905966,-178.63162947632372,-136.95265677571297,-100.01094641536474,-67.8064983971417,-40.33931271918118,-17.609389381483197,0.38327161595225334,12.08369444,26.27094038,22.92513431,24.88388673,19.83843526,,,,,,,,,,,,,,,,,,,2,2,2,1999,…,2015.0,,,2009.0,2017,2012,,,,2002.0,2011.0,1997,-0.13272272388439663,-0.14269234600414737,-0.1543797104400891,-0.16829896310012257,-0.18520363922440636,-0.20625050205177517,-0.23332358789312277,-0.2697407354488024,-0.3220092317142142,-0.4050819070037447,-0.5634682845473963,-1.0217651849050073,30.52775717548921,1.1740818183085402,-0.12735768197118486,0.08544126256855067,-0.20275978285647822
51.0,Armenia,131.09934809384868,116.58983905264176,115.28860855987296,124.3091907,123.0883204,124.5592715,114.0215773,117.109443,116.1673642,119.073517,123.5145186,150.3526319,152.6781158,151.3210707,160.9747082,163.2610763,199.8382149,197.9188234,189.7335048,209.6184643,184.4723425,,,,,,,,,,,,,,,3,,,,,,,1999,2008,1993.0,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-0.009821239227165216,0.011950371044302539,-0.08459983807789041,0.027081415405047153,-0.008044430712560084,0.025016947057493806,0.0372962998984905,0.2172871141320224,0.015466865266094452,-0.008888275132879217,0.06379572557438956,0.01420327531924673,0.22404077829787025,-0.00960472700859774,-0.04135694856803608,0.10480468128684464,-0.1199613873900516
40.0,Austria,-138.76537516294047,-17.698121475987136,2.643426252063364,71.10327380290255,84.99164984934032,97.58939155936241,108.89649893343449,123.3724057,127.63881067186594,116.104981,141.21858506603166,159.5000895,149.63582211406901,175.1335234,152.8905218169093,125.1402399,150.98268417501822,147.6793646,143.91230918699875,144.153297,131.67939685378224,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994.0,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,0.1953268155406766,0.14822328702117638,0.11586410360181519,0.13293271049434058,0.034581517217394574,-0.09036302995267742,0.21630083265791733,0.12945537179415997,-0.06184490188597033,0.17039837737847166,-0.1270059618014325,-0.18150426584416435,0.20650786905689977,-0.0218787975128924,-0.025508339795506263,0.0016745462175033015,-0.08653218764894272
31.0,Azerbaijan,17.745018053683452,3.472221329,2.882416606415063,3.269339746,2.005177572,1.181222941,3.212516052,1.323607076,1.502704306,3.426689663,1.200210355,2.751785668,14.7728583,15.49644798,20.30049269,32.05418961,21.61661215,48.03740165,27.28500123,64.97528102,27.01487692,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000.0,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-0.3866720109302461,-0.4109135482590567,1.7196526078983427,-0.5879842918836253,0.13530996717034777,1.2803486017295007,-0.649746410374017,1.2927528133182953,4.368462548442926,0.04898102082249039,0.3100094109437329,0.5789857960338993,-0.3256228776017401,1.2222446938800258,-0.43200505662653804,1.3813552534701499,-0.584228394307605
48.0,Bahrain,277.8827173495665,241.2635112,245.91463858960196,210.648587,200.7027463,190.4378438,43.16877507,39.77234385,42.96375938,40.42094544,33.79506145,-36.2415499323979,-72.88817861909047,-111.55536314891651,-152.24310352047905,-194.95139973564073,-239.68025179347023,-286.42965969257057,-335.1996234357357,-385.9901430201717,-438.8012184482068,,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,,,,,,,,,,,1992,2012,1996.0,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,-0.047215321221214704,-0.05114480339325583,-0.7733182953103778,-0.0786779614314408,0.08024207831543226,-0.05918508940313319,-0.1639220438283741,-2.0723918932953413,1.011177191788162,0.5305000791952641,0.36473136945686796,0.28052696790575316,0.22943591130139618,0.19504906035973196,0.17026855317815445,0.15152320000793051,0.13681975144446948
50.0,Bangladesh,,,,,,,,,,,0.135382014,,,,,0.185876503,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1981,1994.0,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,
112.0,Belarus,20.332576365442947,8.903298934,-1.1016126787289977,7.353118086,10.03852846,11.9152062,12.72220873,15.93485188,19.95906478,24.94334425,33.73526402,54.91667759,80.1673482,96.92738501,99.61405582,139.6568657,150.2012336,182.7843414,127.9524842,172.2075311,176.5099337,,,,,,,,,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,1999,1995,1993.0,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,0.3652070240940232,0.1869474940951654,0.06772879264145677,0.25252243680174236,0.2525415943809826,0.24972510109764778,0.3524755815371471,0.6278715814241905,0.45979967685805534,0.2090631308919856,0.027718387427070543,0.4019795153442633,0.07550196581563406,0.21692969504346332,-0.29998115144889537,0.34587094714648775,0.02498382371849702
56.0,Belgium,831.5892379323486,694.5986419799738,669.0347377695143,572.893170859199,550.3862916149665,528.4908173633739,507.2067481055856,495.9359709,466.4728245693259,380.3416844,377.5589173,549.0978761,392.3418374154717,435.8179677,358.94477379787713,251.3410415,327.99333015386946,263.8869642,299.4875064822845,335.8060003,273.42730278358795,,,,,,,,,,6.0,,,,,,,,,,,,1993,1983,1997.0,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,-0.03928634584782667,-0.03978201235235332,-0.04027330004327037,-0.02222126824550717,-0.05940917388429362,-0.1846434253674842,-0.007316492549034946,0.45433692846327056,-0.28547922967376477,0.11081186388615787,-0.17638830796218882,-0.29977796071344703,0.30497322759709133,-0.19545021212411734,0.13490830208385296,0.12126881099083114,-0.18575813851058232
84.0,Belize,,,,3.13365546,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,1997,1986,1994.0,,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,,,,,,,,,,,,,,,,
