Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Unnamed: 50,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
204.0,Benin,...,...,...,...,...,...,,,1698.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,
60.0,Bermuda,...,...,...,...,...,...,,,,,,,,,,,582.0,590.0,570.0,566.0,588.0,601.5,600.0,525.0,,,,,,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,1.3745704467353952,-3.389830508474576,-0.7017543859649122,3.8869257950530036,2.295918367346939,-0.24937655860349126,-12.5
64.0,Bhutan,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,2002,2002,1995,...,2002,2004.0,2017,2012,...,...,...,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,,,,,,,,,10588.0,9632.0,10320.0,,945923.0,,8408.0,,,,,,,,,,,,,,,,,,,,10,,,,10,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,,,,,,,,,-9.029089535323006,7.142857142857142,,,,,,,
100.0,Bulgaria,...,...,...,...,...,...,,,,,11897809.0,,13551499.0,,13042680.0,,13553483.0,,13407042.0,,12206169.0,,13328437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,,,,,,,,,,,,,,,,,
854.0,Burkina Faso,...,...,...,...,...,...,,,,,340.6000061,365.7999878,592.9000244,422.5,654.5999756,688.5,35.79999924,18.29999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1989,1993,1990,2005,1989.0,2016,1990,2002,2004,2005,1996.0,1993.0,1987,,,,,7.398702656687951,62.08311759817943,-28.740094010358757,54.93490546745562,5.1787390259108355,-94.80029059694989,-48.882682601978736,,,,,,
132.0,Cabo Verde,...,...,...,...,...,...,,,,,,,,,,,,,,,3548.928955,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,1999,2005,1995,2006,2006,2001.0,2017,2005,2006,2006,1987,1995.0,1995.0,1988,,,,,,,,,,,,,,,,,
120.0,Cameroon,...,...,...,...,...,...,,,,,5785.5,9429.799805,10193.90039,8376.099609,9283.299805,8716.599609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,62.99023083570997,8.103041430368945,-17.832239981305133,10.830819096578388,-6.104512489134242,,,,,,,,
156.0,China,...,...,9930000,10100000,9740000,10150000,8300000.0,9520000.0,10010000.0,11700000.0,9950000.0,11620000.0,10840000.0,10790000.0,13570000.0,14300000.0,15867500.0,34312200.0,34652400.0,31568900.0,36335200.0,39761100.0,53473000.0,69368896.0,,,,,,,,,,,,,,,,,,12,,,,,,,,1991,1981,1993,...,2002,1991.0,2016,1992,2005,2004,1996,1997.0,1993.0,1985,14.698795180722893,5.147058823529411,16.883116883116884,-14.957264957264957,16.78391959798995,-6.712564543889846,-0.46125461254612543,25.764596848934197,5.379513633014001,10.961538461538462,116.24200409642351,0.9914840785493206,-8.898373561427203,15.098087041360325,9.428598163764065,34.48571593844235,29.726957529968395
344.0,"China, Hong Kong Special Administrative Region",...,97066,79405,79533,61166,72140,91637.0,77078.0,64131.0,59238.0,47640.0,47133.0,59047.0,60657.0,56865.0,54812.0,40828.0,36151.0,33916.0,32688.0,31838.0,33738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.8876872878859,-16.797270297620592,-7.629695467090798,-19.57864884027145,-1.0642317380352646,25.277406488023253,2.7266414889833523,-6.251545575943419,-3.610305108590522,-25.51266146099394,-11.455373763103752,-6.1824015933169205,-3.620709989385541,-2.6003426333822808,5.967711539669577,,
