Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
56.0,Belgium,-41770.858839035034,-23295.12380886078,-20175.83655357361,-17248.502548396587,-14513.12179338932,-11969.694288790226,-9618.220034241676,-7458.699029862881,-5491.131275892258,-3715.5167719721794,-2131.85551828146,263.013696,298.630134,536.986296,635.616432,2528.767098,5454.794466,4964.383512,3002.739696,2868.493122,2794.52052,2824.657506,1899.72600877285,987.9950096607208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1983,1997.0,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,-22.452397602578422,-26.379503263142052,-32.336041786426925,-42.62290687629219,-112.33731337534645,13.541666666666675,79.8165137614679,18.36734693877551,297.84482758620686,115.70964247020588,-8.990457056755398,-39.51434878587197,-4.470802919708037,-2.5787965616045785,1.0784313725490189,-32.74490784325022,-47.992762898533584
68.0,Bolivia (Plurinational State of),1774.05025729537,1052.9327387996018,935.1537274159491,826.1895468011498,726.0401969589293,634.7056778781116,552.1859895773232,478.4811320453882,413.5911052748561,357.51590928435326,310.25554406642914,271.81000961735845,242.1793059296906,221.36343302205205,209.36239088699222,206.17617951333523,211.80479891598225,232.3308716,249.2908783,265.3987732,311.4778748,413.1418762,411.02005,498.0203963033855,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,1996.0,1979,1995.0,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,-13.34783187605922,-13.56166887775561,-13.558124262183421,-13.219094308985058,-12.391570492238836,-10.901255523805242,-8.59523187901191,-5.421420318262005,-1.5218642470398673,2.730004705651734,9.691032870393053,7.299936759674261,6.461485879405315,17.362213488935602,32.63923688489223,-0.5135829414137677,21.166934874195423
70.0,Bosnia and Herzegovina,-20.762646544957533,-7.169067054870538,-4.876532755792141,-2.7260589896468446,-0.7176457563764416,1.1487069437280297,2.8729991110158153,4.455230745195877,5.895401846559253,7.19351241493132,10.45479488,4.0,10.37260246,12.68219185,13.94794559,13.93150711,13.56986332,10.00547981,10.9588,10.9588,10.9588,13.6985,10.9588,10.9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,2009,2002.0,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,55.07247211157775,32.325398699412546,22.01903453162716,45.336440350048626,-61.74004324415784,159.31506149999998,22.2662480212319,9.980559787857167,-0.1178559228950914,-2.5958698304823997,-26.266907970595526,9.527980747581953,0.0,0.0,24.999999999999993,-19.999999999999996,0.0
76.0,Brazil,762.9990746546537,2351.8249127026647,2505.592529,2896.730957,3702.881836,3901.17627,4170.680176,4518.359863,5007.399902,5265.209961,5676.990234,6032.330078,6333.419922,6693.419922,7289.040039,7931.22998,8558.900391,8782.19043,9005.0,9806.400391,10311.91992,10424.71973,11111.90234,11621.487593386322,,,,,,,,,,,,,,,,,,,6.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,1992.0,1975,1994.0,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,8.336282628447696,10.823397290788135,5.148581380469089,7.820775924419025,6.259299899299424,4.991269378611746,5.684132813450294,8.898591810179282,8.810350026395287,7.913910107042428,2.6088636249908816,2.5370614743091995,8.899504619655737,5.15499580726839,1.0938778702230305,6.591856930430875,4.585940712887166
100.0,Bulgaria,622.7792836725712,594.520542,902.0911779524758,942.9290152741596,982.1342397215776,1019.7068512956612,1345.205466,1238.356152,1265.753412,1290.410946,1271.232864,1126.027386,1106.849304,1073.972592,1153.424646,1169.863002,1328.76711,1309.589028,1323.287658,1408.219164,1372.602726,1449.315054,1493.15067,1457.534232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,1991,1996.0,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,-7.942973523421576,2.21238938053097,1.9480519480519436,-1.4861995753715425,-11.422413793103454,-1.7031630170316214,-2.97029702970297,7.397959183673455,1.4251781472684184,13.583138173302103,-1.4432989690721578,1.0460251046025002,6.418219461697733,-2.529182879377433,5.588822355289409,3.024574669187151,-2.3853211009174324
108.0,Burundi,-13.736827107553836,-2.0763112039421685,-0.2122982281143777,1.4956846794229932,3.0476375186699443,4.443560289626475,5.683452992292587,6.767315626668278,7.695148192811757,9.699999809,8.899999619,8.0,9.846177774481475,9.993859999172855,9.985512155515607,9.821134243626148,10.10000038,8.0,8.0,8.0,9.800000191,4.300000191,3.339999914,2.880000114,,,,,,,,,,8.0,8.0,8.0,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,1997.0,1988,1997.0,2011,2001,1997.0,,2002,2004,2005,,1997.0,1997.0,1982,19.070495275416782,13.710496411414978,26.053450381384824,-8.24742480157299,-10.112355702562652,23.077222181018442,1.4998939494483903,-0.08352972382981784,-1.6461640557781902,2.8394493900216844,-20.79208218802068,0.0,0.0,22.500002387500007,-56.12244788577678,-22.325586845537885,-13.772449456416357
132.0,Cabo Verde,,,,,,,,,,,,0.302197248,2.320109606,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,2005,1995.0,2006,2006,2001.0,2017,2005,2006,2006,1987,1995.0,1995.0,1988,,,,,,667.7467684947283,,,,,,,,,,,
136.0,Cayman Islands,0.06828404132465948,0.6075084906660777,0.7290017331342824,0.8550444264674297,0.9856365706691577,1.1207781657358282,1.2604692116728984,1.4047097084730922,1.5534996561382286,1.7068390546719456,1.94380939,1.820783377,2.229986429,2.495722532,2.604363918,2.735339165,2.896976233,2.85382247,3.290280581,3.560483217,3.900489092,3.766485453,4.1142512644419185,4.331282975103022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.443397067093562,10.592220354685942,9.87057820887429,13.883578224872528,-6.329119183851666,22.474010756525065,11.916489694476056,4.353103544444836,5.029068560456067,5.90921484502636,-1.4896139812411187,15.293807361464932,8.212145722778393,9.549430632802787,-3.4355598961895497,9.23316486367745,5.2751204705661845
344.0,China Hong Kong Special Administrative Region,1488.9518472217023,1958.904053,2098.630127,2087.671143,2145.205566,2186.30127,2350.684814,2424.657471,2495.890381,2487.3286368846893,2533.2155714351684,2574.6866088379174,2611.741749091074,2644.3809921965003,2693.0,2675.0,2674.0,2681.0,2755.0,2778.0,2782.0,2731.0,2739.4188084565103,2727.899080077186,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1468556124343,2.937854556859185,-0.3430336596706019,1.8448279760872766,1.6370907344160235,1.4392097323985085,1.2497117342013384,1.8385780243835186,-0.6683995544002971,-0.037383177570093455,0.2617801047120419,2.7601641178664678,0.8348457350272231,0.14398848092152627,-1.8332135154565061,0.3082683433361518,-0.4205172405096656
446.0,China Macao Special Administrative Region,36.44378086074721,75,80.69999695,92.09999847,101.0999985,114.5,123.6999969,145.3000031,146.0,133.6000061,151.0,152.5,151.8999939,167.6999969,124.3000031,182.6999969,187.8999939,185.6999969,203.1999969,214.8999939,216.8999939,193.0,229.5211029,211.0030975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.461606096450915,0.4817597281937031,-8.493146506849314,13.02394693528386,0.9933774834437087,-0.3934466229508208,10.401582379523719,-25.879543591094727,46.98309923051,2.8461943559014893,-1.1708339922410165,9.423801988227174,5.757872627211637,0.9306654521966462,-11.018900217682301,18.922851243523308,-8.068105793334436
