Country ID,Country,1990,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,58.69642858093721,60.565476199117256,67.20833333893097,68.66071429065778,70.02976190907066,71.31547619419871,72.51785714604193,73.63690476460033,74.6726190498448,75.62500000183354,76.49404762047925,77.27976190586924,77.98214285794529,78.60119047673652,79.13690476224292,79.5892857144645,80.0,80.0,81.0,80.0,81.0,80.0,81.0,80.0,78.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1999.0,2003,1994.0,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989.0,0.014065152365588952,0.012754085287312861,0.01149153875867291,0.010271574192128798,0.009088808437732916,0.007938325315308463,0.006815600148765632,0.005716434747867599,0.005160421806133412,0.0,0.0125,-0.012345679012345678,0.0125,-0.012345679012345678,0.0125,-0.012345679012345678,-0.025
12.0,Algeria,57.882615530950716,60.81832981840125,71.47400209333864,73.8661239433277,76.14952730582445,78.32421218082891,80.39017856834107,84.0,84.0,86.0,86.0,88.0,90.0,90.0,95.0,95.0,96.0,96.0,96.5,98.0,98.0,98.0,98.0,98.87767856943537,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0,1983,1995.0,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974.0,0.0,0.023809523809523808,0.0,0.023255813953488372,0.022727272727272728,0.0,0.05555555555555555,0.0,0.010526315789473684,0.0,0.005208333333333333,0.015544041450777202,0.0,0.0,0.0,0.008955903769748723,
20.0,Andorra,100,100.0,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,…,2015.0,,,2009.0,2017,2012,,,,2002.0,2011.0,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24.0,Angola,,,,,,,,,,,,,,,,,,,15.30000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,2013,1998.0,2006,2007,2000.0,,,,2006,1990,1997.0,2000.0,1991.0,,,,,,,,,,,,,,,,,
28.0,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1997,1993.0,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983.0,,,,,,,,,,,,,,,,,
51.0,Armenia,81.8767350488124,82.35827230908762,84.46647931801999,88.09999847,85.62981760319963,88.19999695,86.86597907554096,87.59999847,84.69999695,84.09999847,87.30000305,88.90000153,89.40000153,91.30000305,94.09999847,97.0,97.59999847,97.0,97.5,96.59999847,98.69999695,98.30000305,97.30000305,97.90000153,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,2008,1993.0,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993.0,-0.03310504076085292,-0.007083807575036713,0.03804999569817469,0.018327587904935317,0.0056242968660835295,0.021252813059096192,0.030668075864867146,0.030818295187587556,0.0061855512371134305,-0.006147525403747096,0.005154639175257732,-0.009230784923076895,0.0217391150441081,-0.004052623225536973,-0.01017293966401357,0.006166479560043512,
40.0,Austria,67.58498884749133,70.27439099212643,79.63434569811216,81.62492090661544,83.47573072783416,85.18677516194293,86.75805420870893,89.0,89.0,90.0,91.64551652380032,92.51796863449272,93.25065535807516,93.84357669425663,94.29673264326993,95.0,94.78374837979209,94.81760816724272,94.71170256740879,94.46603158029029,94.08059520612005,93.55539344460703,92.89042629598407,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1982,1994.0,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992.0,0.0,0.011235955056179775,0.01828351693111472,0.009519855894595971,0.007919399165334516,0.006358361063573126,0.004828843539176843,0.007458024652779518,-0.0022763328442938235,0.00035723199419128036,-0.0011169402169176389,-0.0025938820701026967,-0.004080158420147488,-0.0055824663987548,-0.007107737182642305,-0.009585770369347164,
31.0,Azerbaijan,44.6652119961509,43.991235631663585,41.975150594924344,41.641084441012936,41.375000329193426,41.17689825940761,41.046778231801,40.98464024628629,40.99048430286348,41.06431040150346,41.20611854226445,41.41590872517554,41.59999847,42.0,42.20000076,42.40000153,44.59999847,44.79999924,45.0,45.20000076,45.70000076,46.29999924,48.40000153,49.90000153,50.90000153,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1998,2000.0,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993.0,0.00014259138404218243,0.001801054559260877,0.0034533184503639978,0.005091238639618871,0.004444904156178975,0.00961542174787482,0.004761922857142899,0.00473935465398308,0.05188671841069166,0.004484322351143692,0.0044643027543051755,0.0044444613333333724,0.011061946716657533,0.01312906936590599,0.04535642169483541,0.03099173455749269,0.020040079545865296
48.0,Bahrain,97.07503106827244,97.24635635712002,97.87221881188634,98.01382475042192,98.14948681889473,98.27920501730478,98.40297934565388,98.52080980394021,98.63269639216378,98.73863911032458,98.83863795842262,99.0,99.0,99.0,99.0,99.69999695,99.19999695,99.40000153,99.0,99.59999847,99.59999847,99.90000153,99.30000305,99.59773080802006,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,2012,1996.0,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991.0,0.0011356645204828068,0.001074113575275038,0.001012763078355845,0.0016325805870094556,0.0,0.0,0.0,0.007070676262626255,-0.005015045288825358,0.002016175263602144,-0.004024160199628091,0.006060590606060633,0.0,0.0030120789619324834,-0.006005990698807114,0.0029982653461767365,
56.0,Belgium,98.23333333808114,97.66363636782626,96.14242424460826,95.95151515325415,95.83636363770347,95.79696969801444,95.83333333407063,95.0,97.0,97.0,97.0,98.0,95.0,98.0,100.0,100.0,100.0,101.23333333342453,102.17878787909285,103.2000000004773,104.2969696976943,105.46969697074383,106.71818181953859,108.04242424416589,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1983,1997.0,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996.0,0.021052631578947368,0.0,0.0,0.010309278350515464,-0.030612244897959183,0.031578947368421054,0.02040816326530612,0.0,0.0,0.012333333334245253,0.009339360016471596,0.009994365196354075,0.010629551329572847,0.011244116453706106,0.011837379689647508,0.012408779854089029,
